ID,章,章タイトル,節,節タイトル,問題番号,難易度,文法事項,Focus,日本語,英文（穴埋め）,ヒント,英文（完全）,答え,Tip（思考誘導）,解説,語句・熟語,注意・補足,Words to Use
1,3章,助動詞,-,-,48,基本,-,F 055,学校は、男女平等について生徒に教えなければならない。,Schools ( )(t) students about gender equality.,t,Schools must teach students about gender equality.,must / teach,「~しなければならない」という義務を表す助動詞は?,話し手の気持ちや判断を表すために動詞に添える語を助動詞と呼ぶ。助動詞は動詞の前に置く。 must do 「~しなければならない」,gender equality「男女平等」,-,litter / carry
2,3章,助動詞,-,-,49,基本,-,F 055,ごみのポイ捨てをしてはいけないことは誰もがわかっている。,Everyone knows that they ( )( )(l).,l,Everyone knows that they must not litter.,must / not / litter,「~してはいけない」という禁止を表す助動詞の表現は? 「ごみを捨てる」を動詞1語で表すと?,must not [mustn't] do 「~してはいけない」 禁止を表す表現。,"may do / can do 「~してもよい」 一許可を表す, litter 「ごみをポイ捨てする」",-,litter / carry
3,3章,助動詞,-,-,50-1,基本,-,F 056,地球温暖化を止めなければならない。,We ( )( )(s) global warming.,s,We have to stop global warming.,have / to / stop,状況などの客観的な要因から判断した義務・必要を表す表現は?,have to do = have got to do 「~しなければならない」。 must は話し手が主観的に感じている義務・必要を、have to は状況や規則などの客観的な要因から判断した義務・必要を表す。,global warming「地球温暖化」,-,litter / carry
4,3章,助動詞,-,-,50-2,基本,-,F 056,その女性は重いスーツケースを階段の上まで運ばなければならなかった。,The woman ( )( )( ) a heavy suitcase up the stairs.,-,The woman had to carry a heavy suitcase up the stairs.,had / to / carry,過去形で「~しなければならなかった」という義務を表すには?,have to do とほぼ同じ意味を表す must (~しなければならない)は、過去形のない助動詞。 したがって、「~しなければならなかった」 (過去)は had to doで、「~しなければならないだろう」 (未来) は will have to do で表す。,up the stairs 「階段の上へ」 down the stairs 「階段の下へ」,-,litter / carry
5,3章,助動詞,-,-,51,基本,-,F 056,自分に自信を持つために高価な服を買う必要はない。,We ( )(h)( )( ) expensive clothes to feel confident about ourselves.,h,We don't have to buy expensive clothes to feel confident about ourselves.,don't / have / to / buy,「~する必要はない」を表す表現は?,don't have to do 「~する必要はない」 = don't need to do = need not do,feel confident 「自信を持つ」,-,litter / carry
6,3章,助動詞,-,-,52,基本,-,-,サラはあと少し勉強しさえすれば、試験に合格するだろう。,"Sara ( )(h)( )( ) a little more, and she'll pass the test.",h,"Sara only has to study a little more, and she'll pass the test.",only / has / to / study,「~しさえすればよい、~するだけでいい」を表す3語から成る表現は?,only have to do 「~しさえすればよい、~するだけでいい」 = have only to do 3人称単数(Sara)が主語で時制が現在なのでonly has toとなる。,-,-,litter / carry
7,3章,助動詞,-,-,53,基本,-,F 058,環境のためにエネルギーを節約すべきだ。,We ( )( )( ) for the sake of the environment.,-,We should [ought to] save energy for the sake of the environment.,should / save / energy,「~すべきだ」という義務を表す表現は?,should do = ought to do 「~すべきだ」,save energy 「エネルギーを節約する」 ⇔ waste energy 「エネルギーを浪費する」,-,save energy / rest / be home
8,3章,助動詞,-,-,54,基本,-,-,プラスチック製のストローは海洋生物に害を与えかねないので使うべきではない。,We ( )( )( ) plastic straws because they can harm marine life.,-,We should not [ought not to] use plastic straws because they can harm marine life.,should / not / use,「~すべきでない」を表す表現は?,should not [shouldn't] do = ought not to do 「~すべきでない」,marine life「海洋生物」,-,save energy / rest / be home
9,3章,助動詞,-,-,55-1,基本,-,F 061,その男性はダイエット中なのでどうしてもそのケーキを食べようとしない。,The man ( )( )( ) that cake because he is on a diet.,-,The man won't eat that cake because he is on a diet.,won't / eat,「どうしても〜しようとしない」という拒絶を表す表現は?,will not [won't] do 「どうしても〜しようとしない」 will は現在の主語の意志を表し、will not で現在における拒絶を表すことがある。,-,-,save energy / rest / be home
10,3章,助動詞,-,-,55-2,基本,-,F 061,その女性は部屋に入ろうとしたが、ドアがどうしても開かなかった。,"The woman tried to enter the room, but the door ( )( )( ).",-,"The woman tried to enter the room, but the door wouldn't open.",wouldn't / open,過去において「どうしても~しなかった」という拒絶を表す表現は?,would not do 「どうしても~しなかった」 would は過去の主語の意志を表し、would not で過去における拒絶を表す。,-,-,save energy / rest / be home
11,3章,助動詞,-,-,56-1,基本,-,F 054,遅れるかもしれないので、先に始めておいてください。,"I ( )( )( ), so please start without me.",-,"I may [might] be late, so please start without me.",may / be / late,「~かもしれない」という推量を表す助動詞は?,may do/might do 「~かもしれない」 might は may よりも確信度が低い。mayの過去形だが過去の意味はない。,-,-,save energy / rest / be home
12,3章,助動詞,-,-,56-2,基本,-,-,彼のご冥福をお祈りします(彼が安らかに眠れますように)。,( )( )( ) in peace.,-,May he rest in peace.,May / he / rest,助動詞を使って、「~しますように」という祈願を表す表現は?,May S do 「Sが〜でありますように」 一祈願を表す may。語順に注意。,rest in peace 「安らかに眠る」,-,save energy / rest / be home
13,3章,助動詞,-,-,57,基本,-,F 058,彼女は今、学校を出たところだから、7時までには帰宅しているはずだ。,"She has just left school, so she ( )( )( ) by seven.",-,"She has just left school, so she should be home by seven.",should / be / home,「~するはずだ」という推量を表す助動詞は?,should do 「(当然)~するはずだ」 = ought to do,by+時刻「~(時刻)までには」,-,save energy / rest / be home
14,3章,助動詞,-,-,58,基本,-,F 057,その女性はカフェで友達を待っているに違いない。,The woman ( )( )( ) for her friends at the café.,-,The woman must be waiting for her friends at the café.,must / be / waiting,「~に違いない」という推量を表す助動詞は? 「~している」という日本語に注意。,must do 「~に違いない」 〈助動詞(must)+進行形(be waiting)〉の形。,-,-,save energy / rest / be home
15,3章,助動詞,-,-,59,基本,-,F 052,牛肉を食べる量を減らすと温室効果ガスの排出量を減らせるというのは本当だろうか。,(that/be/eating/it/can/true) less beef can reduce greenhouse gas emissions?,-,Can it be true that eating less beef can reduce greenhouse gas emissions?,Can / it / be / true / that / eating,「~はあり得る」という推量(可能性)を表す助動詞を疑問文で使う。,Can ...? 「･･･だろうか。」 can には「~はあり得る」という推量の意味がある。can が推量を表すかどうかは文脈から判断する。疑問文で使うと、驚き・困惑などのニュアンスが含まれる。,greenhouse gas 「温室効果ガス」,-,save energy / rest / be home
